date,I_US,I_EU,ir_diff,USDEUR
1/1/04,1.1,2.1463,-1.046,0.7942799925804138
2/1/04,1.06,2.0895,-1.03,0.802049994
3/1/04,1.05,2.0706,-1.021,0.8003799915313721
4/1/04,1.05,2.0288,-0.979,0.8121500015258789
5/1/04,1.08,2.0488,-0.969,0.8345199823379517
6/1/04,1.2,2.0859,-0.886,0.8197399973869324
7/1/04,1.46,2.1127,-0.653,0.8207499980926514
8/1/04,1.57,2.116,-0.546,0.8322200179100037
9/1/04,1.68,2.1143,-0.434,0.821150005
10/1/04,1.86,2.1186,-0.259,0.8042500019073486
11/1/04,2.04,2.1473,-0.107,0.7817400097846985
12/1/04,2.26,2.1703,0.09,0.75199002
1/1/05,2.45,2.1732,0.277,0.7371900081634521
2/1/05,2.61,2.1454,0.465,0.7661700248718262
3/1/05,2.77,2.1384,0.632,0.756600022
4/1/05,2.97,2.1372,0.833,0.7711899876594543
5/1/05,3.09,2.1372,0.953,0.776639998
6/1/05,3.22,2.1256,1.094,0.8124799728393555
7/1/05,3.38,2.111,1.269,0.8270599842071533
8/1/05,3.57,2.1194,1.451,0.8248100280761719
9/1/05,3.77,2.1325,1.638,0.8103100061416626
10/1/05,3.87,2.1391,1.731,0.8313900232315063
11/1/05,4.13,2.1966,1.933,0.8341000080108643
12/1/05,4.31,2.3609,1.949,0.847100019
1/1/06,4.45,2.4729,1.977,0.8445199728012085
2/1/06,4.56,2.5117,2.048,0.8231499791145325
3/1/06,4.72,2.6004,2.12,0.8382200002670288
4/1/06,4.88,2.7226,2.157,0.8254200220108032
5/1/06,5.03,2.7938,2.236,0.7913900017738342
6/1/06,5.15,2.889,2.261,0.78026998
7/1/06,5.35,2.9857,2.364,0.782289982
8/1/06,5.46,3.1022,2.358,0.7828400135040283
9/1/06,5.38,3.2265,2.153,0.7807000279426575
10/1/06,5.34,3.3354,2.005,0.7897599935531616
11/1/06,5.33,3.502,1.828,0.783270001
12/1/06,5.32,3.5972,1.723,0.7546600103378296
1/1/07,5.32,3.6842,1.636,0.7576900124549866
2/1/07,5.32,3.7519,1.568,0.7678700089454651
3/1/07,5.31,3.8182,1.492,0.7559199929237366
4/1/07,5.3,3.8909,1.409,0.7485600113868713
5/1/07,5.31,3.9753,1.335,0.7324900031089783
6/1/07,5.31,4.0714,1.239,0.7431600093841553
7/1/07,5.33,4.1478,1.182,0.7387700080871582
8/1/07,5.32,4.2162,1.104,0.7314199805259705
9/1/07,5.49,4.5436,0.946,0.7330300211906433
10/1/07,5.46,4.7417,0.718,0.7010200023651123
11/1/07,5.08,4.6874,0.393,0.6909899711608887
12/1/07,4.97,4.6385,0.332,0.6804599761962891
1/1/08,5.02,4.8484,0.172,0.6848800182342529
2/1/08,3.84,4.4815,-0.641,0.6727200150489807
3/1/08,3.06,4.3621,-1.302,0.65824002
4/1/08,2.79,4.5964,-1.806,0.6345999836921692
5/1/08,2.85,4.7835,-1.934,0.6401200294494629
6/1/08,2.66,4.8574,-2.197,0.6434599757194519
7/1/08,2.76,4.9405,-2.181,0.6349200010299683
8/1/08,2.79,4.961,-2.171,0.6413099765777588
9/1/08,2.79,4.9652,-2.175,0.6816200017929077
10/1/08,3.59,5.0192,-1.429,0.7093999981880188
11/1/08,4.32,5.1131,-0.793,0.7872800230979919
12/1/08,2.36,4.2383,-1.878,0.7875300049781799
1/1/09,1.77,3.2926,-1.523,0.7153099775314331
2/1/09,1.02,2.4565,-1.436,0.7789999842643738
3/1/09,1.16,1.9431,-0.783,0.7887099981307983
4/1/09,1.07,1.6355,-0.565,0.7548900246620178
5/1/09,0.89,1.4223,-0.532,0.7555599808692932
6/1/09,0.57,1.2817,-0.712,0.7063599824905396
7/1/09,0.39,1.2279,-0.838,0.7123100161552429
8/1/09,0.35,0.975,-0.625,0.701259971
9/1/09,0.3,0.8605,-0.56,0.6972200274467468
10/1/09,0.25,0.7721,-0.522,0.6823599934577942
11/1/09,0.24,0.7375,-0.498,0.6787499785423279
12/1/09,0.21,0.7162,-0.506,0.6649399995803833
1/1/10,0.22,0.712,-0.492,0.6979799866676331
2/1/10,0.2,0.6798,-0.48,0.7211400270462036
3/1/10,0.19,0.6617,-0.472,0.7336199879646301
4/1/10,0.23,0.645,-0.415,0.7402999997138977
5/1/10,0.3,0.6447,-0.345,0.75199002
6/1/10,0.45,0.6865,-0.236,0.8138099908828735
7/1/10,0.52,0.7276,-0.208,0.8176599740982056
8/1/10,0.41,0.8488,-0.439,0.7669299840927124
9/1/10,0.32,0.8955,-0.575,0.7895200252532959
10/1/10,0.28,0.8805,-0.6,0.733780026
11/1/10,0.27,0.9977,-0.728,0.7257900238037109
12/1/10,0.27,1.042,-0.772,0.7631300091743469
1/1/11,0.3,1.0217,-0.722,0.7518100142478943
2/1/11,0.29,1.0172,-0.727,0.736769974
3/1/11,0.28,1.0867,-0.807,0.7281000018119812
4/1/11,0.28,1.1755,-0.896,0.7081500291824341
5/1/11,0.23,1.3212,-1.091,0.6736699938774109
6/1/11,0.21,1.4251,-1.215,0.6982100009918213
7/1/11,0.22,1.4886,-1.269,0.6906599998474121
8/1/11,0.24,1.5976,-1.358,0.6977400183677673
9/1/11,0.29,1.5521,-1.262,0.6928499937057495
10/1/11,0.33,1.5365,-1.206,0.7360600233078003
11/1/11,0.37,1.5759,-1.206,0.7072100043296814
12/1/11,0.41,1.4847,-1.075,0.7505199909210205
1/1/12,0.49,1.4261,-0.936,0.771839976
2/1/12,0.4,1.2222,-0.822,0.7610599994659424
3/1/12,0.3,1.0483,-0.748,0.7419499754905701
4/1/12,0.29,0.8585,-0.568,0.7511000037193298
5/1/12,0.29,0.7443,-0.454,0.7552000284194946
6/1/12,0.29,0.6849,-0.395,0.8080999851226807
7/1/12,0.32,0.6589,-0.339,0.8037999868392944
8/1/12,0.3,0.497,-0.197,0.8156999945640564
9/1/12,0.26,0.3324,-0.072,0.7993000149726868
10/1/12,0.24,0.2463,-0.006,0.774399996
11/1/12,0.23,0.2079,0.022,0.7714499831199646
12/1/12,0.23,0.192,0.038,0.770799994
1/1/13,0.24,0.1854,0.055,0.7559900283813477
2/1/13,0.23,0.2049,0.025,0.7370100021362305
3/1/13,0.22,0.2234,-0.003,0.7603999972343445
4/1/13,0.21,0.2061,0.004,0.7802799940109253
5/1/13,0.2,0.2089,-0.009,0.7635999917984009
6/1/13,0.2,0.2012,-0.001,0.7666400074958801
7/1/13,0.19,0.2103,-0.02,0.7671099901199341
8/1/13,0.14,0.2214,-0.081,0.7538700103759766
9/1/13,0.12,0.2259,-0.106,0.7555000185966492
10/1/13,0.11,0.2232,-0.113,0.7409899830818176
11/1/13,0.12,0.2256,-0.106,0.7286499738693237
12/1/13,0.12,0.2234,-0.103,0.7350800037384033
1/1/14,0.14,0.2735,-0.134,0.7241100072860718
2/1/14,0.12,0.292,-0.172,0.737529993
3/1/14,0.13,0.2881,-0.158,0.7295299768447876
4/1/14,0.12,0.3053,-0.185,0.7271599769592285
5/1/14,0.12,0.3297,-0.21,0.7239199876785278
6/1/14,0.11,0.3246,-0.215,0.7350500226020813
7/1/14,0.11,0.2414,-0.131,0.7329000234603882
8/1/14,0.13,0.205,-0.075,0.7464900016784668
9/1/14,0.13,0.1916,-0.062,0.7584400177001953
10/1/14,0.12,0.0971,0.023,0.7879700064659119
11/1/14,0.12,0.0826,0.037,0.7928100228309631
12/1/14,0.13,0.0809,0.049,0.8024399876594543
1/1/15,0.15,0.0809,0.069,0.8222299814224243
2/1/15,0.16,0.0627,0.097,0.8821799755096436
3/1/15,0.15,0.0482,0.102,0.8924300074577332
4/1/15,0.14,0.0272,0.113,0.9233400225639343
5/1/15,0.13,0.0047,0.125,0.8997399806976318
6/1/15,0.15,-0.0104,0.16,0.9123799800872803
7/1/15,0.18,-0.0139,0.194,0.8910300135612488
8/1/15,0.19,-0.0187,0.209,0.914139986
9/1/15,0.26,-0.0277,0.288,0.8917400240898132
10/1/15,0.27,-0.037,0.307,0.8884199857711792
11/1/15,0.25,-0.0536,0.304,0.909600019
12/1/15,0.3,-0.0876,0.388,0.9449099898338318
1/1/16,0.54,-0.1263,0.666,0.9145799875259399
2/1/16,0.57,-0.1461,0.716,0.914330006
3/1/16,0.54,-0.1836,0.724,0.9154199957847595
4/1/16,0.55,-0.2285,0.779,0.8822500109672546
5/1/16,0.55,-0.2492,0.799,0.8805999755859375
6/1/16,0.57,-0.2572,0.827,0.8969900012016296
7/1/16,0.55,-0.2679,0.818,0.8986300230026245
8/1/16,0.62,-0.2945,0.914,0.9021700024604797
9/1/16,0.73,-0.2982,1.028,0.8966000080108643
10/1/16,0.75,-0.3016,1.052,0.8913000226020813
11/1/16,0.72,-0.309,1.029,0.9103599786758423
12/1/16,0.71,-0.3127,1.023,0.9391000270843506
1/1/17,0.87,-0.3158,1.186,0.9455999732017517
2/1/17,0.9,-0.3255,1.226,0.9338300228118896
3/1/17,0.87,-0.3286,1.199,0.9448000192642212
4/1/17,0.98,-0.3293,1.309,0.9357100129127502
5/1/17,1.03,-0.3304,1.36,0.920449972
6/1/17,1.05,-0.3295,1.38,0.8951200246810913
7/1/17,1.16,-0.33,1.49,0.8740000128746033
8/1/17,1.22,-0.3304,1.55,0.8512600064277649
9/1/17,1.25,-0.3291,1.579,0.8407999873161316
10/1/17,1.25,-0.3294,1.579,0.848770022
11/1/17,1.26,-0.3295,1.59,0.8581699728965759
12/1/17,1.32,-0.329,1.649,0.8437399864196777
1/1/18,1.53,-0.3279,1.858,0.8374000191688538
2/1/18,1.67,-0.3285,1.998,0.8058300018310547
3/1/18,1.78,-0.3285,2.109,0.8176400065422058
4/1/18,2.08,-0.3279,2.408,0.8128200173377991
5/1/18,2.2,-0.3285,2.528,0.8248900175094604
6/1/18,2.16,-0.3252,2.485,0.8571000099182129
7/1/18,2.19,-0.322,2.512,0.8648300170898438
8/1/18,2.17,-0.3207,2.491,0.8541600108146667
9/1/18,2.19,-0.319,2.509,0.8572900295257568
10/1/18,2.24,-0.3188,2.559,0.8593000173568726
11/1/18,2.37,-0.3177,2.688,0.8813400268554688
12/1/18,2.56,-0.3164,2.876,0.8777499794960022
1/1/19,2.69,-0.3121,3.002,0.8741300106048584
2/1/19,2.59,-0.308,2.898,0.8705000281333923
3/1/19,2.49,-0.3084,2.798,0.8787199854850769
4/1/19,2.48,-0.3092,2.789,0.890470028
5/1/19,2.47,-0.3105,2.78,0.8940399885177612
6/1/19,2.44,-0.3119,2.752,0.8983799815177917
7/1/19,2.3,-0.3289,2.629,0.8792799711227417
8/1/19,2.22,-0.3649,2.585,0.8962200284004211
9/1/19,2.06,-0.4077,2.468,0.9039999842643738
10/1/19,2.03,-0.4176,2.448,0.9138500094413757
11/1/19,1.88,-0.4129,2.293,0.8964999914169312
12/1/19,1.77,-0.4013,2.171,0.9081199765205383
1/1/20,1.76,-0.3947,2.155,0.8926740288734436
2/1/20,1.65,-0.3911,2.041,0.9066900014877319
3/1/20,1.59,-0.4088,1.999,0.9093199968338013
